Species,N,SL,HL,ED,HD,SnL,EP,RGL,MA
Campostoma anomalum,9,106.1,25.7,5,13.5,9.9,11.2,3.27,72.1
Campostoma oligolepis,5,106.2,24.1,4.6,11.8,9.7,10,3.03,77.7
Campostoma paucirdii,5,92.4,21.3,4.6,10.9,7.9,8.3,3.27,77.9
Cyprinella galactura,5,90.8,22,4.8,10.3,7.2,6.5,0.71,104.2
Cyprinella gibbsi,5,63.9,16.7,4.3,7.7,5.4,5,0.69,106.8
Cyprinella spiloptera,5,66.6,16,4.4,7.9,5.1,5.1,0.95,104.5
Cyprinella venusta,5,101.2,23.1,5.2,10.9,7.4,7.4,0.76,103.7
Ericymba amplamala,5,50.8,14.4,4.5,5.8,5.1,5,0.79,92.3
Exoglossum laurae,2,69.1,16.6,4.6,8.7,6.2,7.8,0.92,97.8
Hybopsis winchelli,5,50.2,12.4,4.4,5.3,4.4,2.2,0.8,82.2
Luxilus chrysocephalus,5,78,17.3,5.8,10.7,8,5.1,0.78,113.3
Luxilus coccogenis,5,78.2,21.8,6,11,7.6,4.6,0.6,110.1
Lythrurus bellus,5,45.2,11,3.5,5.8,3.3,3.9,0.71,120.6
Macrhybopsis aestivalis,5,47.7,12.9,3.7,5.7,5,4.9,0.76,76.9
Macrhybopsis storeriana,5,70.5,17.6,6.4,8.8,6.3,8,0.89,82
Nocomis leptocephalus,5,118.8,31.6,6.1,16.3,11.4,13.9,1.65,100.4
Nocomis micropogon,5,131.2,34,6.3,18.7,12.7,15.8,0.92,100.4
Nocomis platyrhynchus,5,168.2,44.9,7.1,27.7,18,21.8,1.47,99.5
Notropis ammophilus,5,41.3,11.2,3.3,5.2,3.9,4.1,1.01,96.6
Notropis baileyi,5,51.8,13.2,4.3,6.8,4.1,4.9,0.97,108.2
Notropis leuciodus,5,65.2,15.1,4.8,7.2,4.8,5.8,0.65,112.1
Notropis photogenis,5,80.7,19,6,8.8,6,6.6,0.65,116.8
Notropis rubellus,5,57,14.7,4.4,6.1,4.6,4.5,0.94,116.1
Notropis scabriceps,5,55.9,14.7,5.3,7.1,4.3,5,0.65,110.2
Notropis stilbius,5,61.4,15.3,5.3,7.4,4.9,5.1,0.66,118.3
Notropis texanus,5,55.5,13.7,4.8,6.7,4.4,5.5,0.72,106.2
Notropis uranoscopus,5,43.6,11.8,4.3,5.2,4,4.2,0.64,108.1
Notropis volucellus,5,46,11.1,3.9,5.3,3.4,4.1,0.74,103.7
Phenacobius catostomus,5,92,19.5,5.3,9.6,7.7,8.6,0.95,72.3
Phenacobius teretulus,5,75.7,17.7,4.7,9.4,7.5,7.4,0.85,70.8
Pimephales notatus,5,53.9,12.5,3.7,6.4,4,4.4,1.59,74.4
Pimephales vigilax,5,55,13.5,4,7.2,4.4,5.5,1.46,103.5
Rhinichthys atratulus,5,68,18.4,3.6,8.2,7,6.2,0.88,100.6
Rhinichthys cataractae,5,69.5,18.2,3.5,7.8,6.9,6.1,0.92,93.6
