"X","SL_bbox","SL_lm","HL_bbox","HL_lm","pOD_bbox","pOD_lm","ED_bbox","ED_lm","HH_lm","EA_m","HA_m","SL_bbox.conv","SL_lm.conv","HL_bbox.conv","HL_lm.conv","pOD_bbox.conv","pOD_lm.conv","ED_bbox.conv","ED_lm.conv","HH_lm.conv","EA_m.conv","HA_m.conv","SL_bbox.diff","SL_lm.diff","HL_bbox.diff","HL_lm.diff","pOD_bbox.diff","pOD_lm.diff","ED_bbox.diff","ED_lm.diff","HH_lm.diff","EA_m.diff","HA_m.diff"
"INHS_FISH_100201",4.66,4.66,1.16,1.16,0.29,0.3,0.3,0.29,224,0.07,0.59,46.64,46.63,11.62,11.64,2.92,2.95,2.97,2.94,5.68,2582.38,23093.84,-0.00399999999999956,-0.00300000000000011,-0.002,-0.00400000000000023,-0.002,0.00499999999999995,0.00299999999999995,-0.004,223.432,-258.168,-2308.794
"INHS_FISH_100532",4.54,4.53,1.03,1.04,0.22,0.23,0.29,0.29,218,0.06,0.51,45.37,45.34,10.32,10.38,2.24,2.31,2.92,2.9,5.54,2362.8,20231.58,0.00300000000000011,-0.00400000000000045,-0.002,0.002,-0.00400000000000003,-0.001,-0.002,0,217.446,-236.22,-2022.648
"INHS_FISH_102135",2.51,2.51,0.6,0.6,0.11,0.11,0.19,0.18,126,0.03,0.17,25.09,25.07,5.97,5.99,1.09,1.09,1.85,1.83,3.2,990.59,6740.65,0.00099999999999989,0.00299999999999967,0.003,0.001,0.000999999999999987,0.000999999999999987,0.005,-0.003,125.68,-99.029,-673.895
"INHS_FISH_102621",3.35,3.38,0.86,0.86,0.22,0.22,0.29,0.29,195,0.06,0.36,33.46,33.81,8.61,8.62,2.21,2.21,2.92,2.89,4.95,2313.8,14293.58,0.004,-0.00100000000000033,-0.001,-0.00199999999999989,-0.001,-0.001,-0.002,0.000999999999999945,194.505,-231.32,-1428.998
"INHS_FISH_102957",4.75,4.79,1.04,1.05,0.28,0.28,0.34,0.34,223,0.08,0.52,47.46,47.91,10.44,10.55,2.78,2.78,3.39,3.37,5.69,3112.08,20389.36,0.00399999999999956,-0.000999999999999446,-0.004,-0.00500000000000012,0.00200000000000006,0.00200000000000006,0.001,0.003,222.431,-311.128,-2038.416
"INHS_FISH_102958",3.37,3.37,0.89,0.89,0.24,0.28,0.27,0.26,183,0.05,0.36,33.75,33.72,8.88,8.89,2.39,2.78,2.67,2.65,4.66,1810.16,14143,-0.00499999999999989,-0.00199999999999978,0.00199999999999989,0.001,0.000999999999999973,0.00200000000000006,0.003,-0.005,182.534,-180.966,-1413.94
"INHS_FISH_103091",4.89,4.89,1.26,1.26,0.34,0.34,0.38,0.38,256,0.1,0.68,48.91,48.89,12.59,12.64,3.35,3.4,3.76,3.76,6.5,4121.96,26851.76,-0.00100000000000033,0.000999999999999446,0.00100000000000011,-0.004,0.005,5.55111512312578e-17,0.004,0.004,255.35,-412.096,-2684.496
"INHS_FISH_104263",4.04,4.04,1.09,1.09,0.3,0.31,0.31,0.31,215,0.06,0.47,40.42,40.41,10.92,10.9,3.04,3.11,3.12,3.09,5.45,2317.75,18721.92,-0.00199999999999978,-0.000999999999999446,-0.002,0,-0.004,-0.001,-0.002,0.001,214.455,-231.715,-1871.722
"INHS_FISH_105892",4.07,4.06,0.99,0.99,0.25,0.25,0.3,0.3,198,0.06,0.43,40.67,40.64,9.91,9.89,2.51,2.55,3.04,3.02,5.02,2438.09,17028.35,0.00300000000000011,-0.00400000000000045,-0.001,0.00099999999999989,-0.001,-0.005,-0.004,-0.002,197.498,-243.749,-1702.405
"INHS_FISH_105978",4.75,4.75,1.27,1.28,0.35,0.35,0.34,0.34,264,0.09,0.73,47.53,47.51,12.74,12.75,3.51,3.52,3.43,3.41,6.71,3506.74,28648.02,-0.00300000000000011,-0.000999999999999446,-0.004,0.00500000000000012,-0.001,-0.002,-0.003,-0.001,263.329,-350.584,-2864.072
