"base_name","SL_bbox","SL_lm","HL_bbox","HL_lm","pOD_bbox","pOD_lm","ED_bbox","ED_lm","HH_lm","EA_m","HA_m","FA_pca","FA_lm","scale","unit","FA_pca_meta"
"INHS_FISH_100201",1840,1839.17,460,459.98,114,117.39,118,117.21,223,10182,91052,0,-0.78,394.287,"cm",2.89
"INHS_FISH_100532",1785,1784.2,406,408.85,88,90.71,115,114,218,9297,79605,0,0.87,393.474,"cm",-0.16
"INHS_FISH_102135",988,987.02,234,235.76,43,43.05,73,72.06,125,3901,26543,0,0.41,393.805,"cm",-1.49
"INHS_FISH_102621",1332,1334.53,342,341.99,84,86.83,116,115.21,201,9112,56307,0,-4.17,393.897,"cm",12.29
"INHS_FISH_102957",1880,1879.13,419,420.1,108,108.9,135,134,222,12202,79918,0,0.67,391.925,"cm",7.56
"INHS_FISH_102958",1326,1325.18,348,349.3,92,109.84,106,105.3,182,7113,55565,0,-0.95,392.894,"cm",1.07
"INHS_FISH_103091",1927,1926,496,497.72,132,133.51,148,147.87,255,16239,105786,0,-0.06,393.963,"cm",-0.62
"INHS_FISH_104263",1595,1594.21,431,430.04,120,122.78,123,122.15,216,9146,73878,0,-0.93,394.607,"cm",-0.15
"INHS_FISH_105892",1604,1603.02,391,390.18,99,100.28,120,119.02,200,9616,67160,0,0.29,394.407,"cm",-0.57
"INHS_FISH_105978",1869,1868,502,502.93,138,138.36,135,134.13,264,13787,112638,0,-0.09,393.186,"cm",0.37
"INHS_FISH_106211",1804,1803.05,387,387.68,76,78.1,112,111.54,217,9557,79018,0,-0.41,392.953,"cm",-1.36
"INHS_FISH_106370",1509,1508.02,343,345.49,72,72.01,101,100.08,180,7581,55533,-0.01,0.27,393.611,"cm",-0.27
"INHS_FISH_106489",1576,1575.29,386,387.07,94,95.04,121,120.27,206,9840,66808,0,1.09,393.472,"cm",-1.51
"INHS_FISH_106924",1593,1592.14,381,380.01,88,93.3,128,128.41,205,10385,67274,0,-0.76,392.917,"cm",-1.15
"INHS_FISH_107279",1956,1955.2,446,450.47,129,129.25,142,141.13,254,14331,97320,0,-0.82,395.219,"cm",-4.07
"INHS_FISH_107309",1120,1119.33,295,302.45,80,80.75,85,84.1,156,5352,39407,0,1.38,392.973,"cm",0.37
"INHS_FISH_107460",825,824.22,208,207.15,43,45.22,71,70.11,110,3547,20306,0.01,-1.32,NA,"None",-0.87
"INHS_FISH_107479",1188,1187.24,303,302.42,78,83.57,102,101.18,159,6801,41199,0,-1.16,NA,"None",7.23
"INHS_FISH_107493",978,977.15,227,227.61,48,52.8,80,79.76,128,4284,24395,-0.02,-1,NA,"None",7.09
"INHS_FISH_107530",1208,1207.08,302,301.11,76,77.1,101,100.4,167,6686,43805,0,-0.66,NA,"None",5.47
"INHS_FISH_107535",1038,1037.02,264,263.09,67,69.64,85,84.01,139,5067,32790,0,-0.33,NA,"None",-1.44
"INHS_FISH_107593",857,856.02,208,207.02,50,51.2,66,65.76,118,3443,22219,0,0.4,NA,"None",-1.93
"INHS_FISH_107609",971,970.3,250,249.01,63,66.73,83,82.87,134,4670,28840,0,1.42,NA,"None",5.76
"INHS_FISH_107612",1358,1357,324,323,82,85.16,104,103.48,178,7751,50927,0,0.13,NA,"None",-1.89
"INHS_FISH_107665",1490,1489.06,371,371.65,97,99.46,119,118.11,204,9398,64973,0,0.5,NA,"None",-6.68
"INHS_FISH_107723",957,956.03,237,236.05,58,58.69,70,69,123,3239,26441,0,0.42,392.588,"cm",-5.18
"INHS_FISH_107782",1254,1253.06,316,315.16,88,90.03,100,99.08,170,7331,47205,0,0.55,NA,"None",3.77
