"","original_file_name","id.x","file_name","catalog_id","dataset","path","scientific_name.x","genus.x","family.x","institution","width","height","size","id.y","image_metadata_id","user_id","fish_number","has_ruler","has_label","labelname_matched_imagefilename","barcode_visible","label_detailed","has_colorbar","has_label_attached_fish","non_specimen_objects","if_overlapping","specimen_angled","specimen_viewing","straight_curved","if_missing_parts","if_parts_visible","fins_folded_oddly","brightness","if_background_uniform","if_focus","color_issues","image_quality","scientific_name.y","genus.y","family.y"
"62","INHS_FISH_100201.jpg",142213,"INHS_142213.JPG",100201,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_100201.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11558551,"54f335b7-7a6d-5d31-8297-29c7c7341034","ae3d3e99-f347-4b22-b99c-c4bcdcdc03d5",14,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",5,"Notropis volucellus","Notropis ","Cyprinidae"
"89","INHS_FISH_100532.jpg",142304,"INHS_142304.JPG",100532,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_100532.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10742190,"fbab7b36-718a-5654-97ab-75f9b6635ab0","c094dc7a-0517-42a3-a32d-10d68075b67c",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",4,"Notropis texanus","Notropis ","Cyprinidae"
"231","INHS_FISH_102135.jpg",142739,"INHS_142739.JPG",102135,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_102135.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11249078,"cbbe147b-f85a-5ada-9b69-4745219c8796","0f3eba30-95c3-4151-ad9b-71f071ee7831",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",6,"Notropis texanus","Notropis ","Cyprinidae"
"265","INHS_FISH_102621.jpg",142853,"INHS_142853.JPG",102621,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_102621.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10272381,"feff33fe-e444-5316-b4cd-d94b3a67371e","9d9a8f29-96fa-4b5f-a64e-b3cb1fc03072",15,1,"True","True","True","False","detailed","False","False","clear disk","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis volucellus","Notropis ","Cyprinidae"
"299","INHS_FISH_102957.jpg",142937,"INHS_142937.JPG",102957,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_102957.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,11210485,"c62338b7-edb9-5d29-93d5-22f921779b62","a848b017-8412-4bc6-bef4-4bed96b17a81",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",4,"Notropis leuciodus","Notropis ","Cyprinidae"
"300","INHS_FISH_102958.jpg",142938,"INHS_142938.JPG",102958,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_102958.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10858240,"cdc02dfa-0259-51de-83e2-8f808a150fdc","42713f7e-5dca-41a2-a0c0-ea149765919e",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",5,"Notropis volucellus","Notropis ","Cyprinidae"
"314","INHS_FISH_103091.jpg",142966,"INHS_142966.JPG",103091,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_103091.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11591075,"1d099e35-9e69-59f7-8c55-0287562ede02","7cc688b1-e671-4d4b-8cf2-4373f110c554",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis texanus","Notropis ","Cyprinidae"
"414","INHS_FISH_104263.jpg",143294,"INHS_143294.JPG",104263,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_104263.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10951668,"57a7087f-1d10-5702-808a-0653fd56c88b","b472df9c-5da6-4f1c-88c0-1c5cf83a1287",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis volucellus","Notropis ","Cyprinidae"
"507","INHS_FISH_105892.jpg",143712,"INHS_143712.JPG",105892,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_105892.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10992422,"be0a6c5d-73b6-58dc-80a9-41aa974cced1","9299ee24-97fa-4b95-bf04-99f779478540",15,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",8,"Notropis texanus","Notropis ","Cyprinidae"
"513","INHS_FISH_105978.jpg",143736,"INHS_143736.JPG",105978,"GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_105978.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11246448,"68dae0df-419d-58b5-8648-bb135ee3f066","012db9f1-1897-4714-baea-716d8a19ef13",12,1,"True","True","True","False","detailed","False","False","no","False",9,"left","straight","False","True","False","normal","False","True","none",6,"Notropis texanus","Notropis ","Cyprinidae"
