"dorsal_fin.number","dorsal_fin.percentage","adipos_fin.number","adipos_fin.percentage","caudal_fin.number","caudal_fin.percentage","anal_fin.number","anal_fin.percentage","pelvic_fin.number","pelvic_fin.percentage","pectoral_fin.number","pectoral_fin.percentage","head.number","head.percentage","eye.number","eye.percentage","caudal_fin_ray.number","caudal_fin_ray.percentage","alt_fin_ray.number","alt_fin_ray.percentage","trunk.number","trunk.percentage","file.name"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.992120507069956,"INHS_FISH_000742"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_000757"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_000835"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_00190"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_001961"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_001980"
1,1,1,1,1,1,4,0.991582491582492,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_00357"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.965817100461079,"INHS_FISH_003752"
2,0.965594782999775,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_003822"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.999068144081868,"INHS_FISH_004920"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_005219"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.99969350367099,"INHS_FISH_006548"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.999780818486395,"INHS_FISH_006709"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.977286974972272,"INHS_FISH_007358"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_007409"
