"Scientific_Name","Sample_Size"
"Notropis maculatus",6
"Notropis petersoni",6
"Notropis anogenus",8
"Notropis rubricroceus",10
"Notropis xaenocephalus",12
"Notropis ammophilus",13
"Notropis spectrunculus",13
"Notropis amabilis",15
"Notropis baileyi",15
"Notropis heterolepis",16
"Notropis procne",18
"Notropis rupestris",18
"Notropis scepticus",18
"Notropis stilbius",19
"Notropis cummingsae",20
"Notropis longirostris",22
"Notropis greenei",23
"Notropis heterodon",24
"Notropis photogenis",27
"Notropis lutipinnis",29
"Notropis micropteryx",31
"Notropis rubellus",36
"Notropis chalybaeus",40
"Notropis leuciodus",44
"Notropis wickliffi",46
"Carassius auratus",54
"Notropis nubilus",57
"Notropis texanus",60
"Notropis buchanani",67
"Notropis volucellus",81
"Notropis telescopus",83
"Notropis boops",131
"Notropis blennius",162
"Notropis hudsonius",168
"Notropis percobromus",221
"Cyprinus carpio",307
"Notropis buccatus",421
"Phenacobius mirabilis",423
"Notropis atherinoides",492
"Notropis dorsalis",493
"Notropis stramineus",914
