,SL_bbox,SL_lm,HL_bbox,HL_lm,pOD_bbox,pOD_lm,ED_bbox,ED_lm,HH_lm,EA_m,HA_m,FA_pca,FA_lm,scale,unit,FA_pca_meta
INHS_FISH_52831,2.86,2.86,0.65,0.65,0.12,0.12,0.2,0.2,132,0.03,0.2,2.59,1.32,393.462,cm,1.68
INHS_FISH_85989,3.86,3.87,0.89,0.89,0.22,0.25,0.23,0.23,199,0.03,0.37,5.07,4.17,391.092,cm,5.17
INHS_FISH_58003,4.62,4.62,1.13,1.14,0.32,0.32,0.34,0.33,245,0.08,0.6,1.15,1.35,394.025,cm,2.12
INHS_FISH_45484,5.22,5.22,1.37,1.36,0.42,0.42,0.37,0.37,294,0.09,0.85,1.25,0.11,391.838,cm,1.05
INHS_FISH_54317,3.56,3.57,0.76,0.76,0.15,0.15,0.23,0.24,171,0.04,0.3,178.39,-3.34,394.215,cm,-1.81
INHS_FISH_76260,3.4,3.4,0.89,0.89,0.24,0.26,0.23,0.23,190,0.04,0.37,0.69,-1.55,392.327,cm,-0.78
INHS_FISH_39175,4.89,4.9,1.23,1.23,0.38,0.38,0.32,0.32,238,0.07,0.62,175.35,-4.34,393.792,cm,-5.1
INHS_FISH_89077,5.82,5.82,1.25,1.25,0.33,0.34,0.4,0.4,272,0.11,0.71,1.69,1.37,394.747,cm,0.72
INHS_FISH_83216,4.69,4.7,1.01,1.01,0.24,0.24,0.29,0.29,216,0.06,0.49,5.66,4.86,394.2,cm,5.42
INHS_FISH_79214,5.4,5.4,1.43,1.43,0.46,0.46,0.41,0.41,277,0.12,0.82,3.65,3.32,392.809,cm,3.73
INHS_FISH_50103,4.52,4.52,1.07,1.07,0.3,0.32,0.3,0.3,226,0.06,0.5,178.91,-2.22,394.441,cm,-2.09
INHS_FISH_90066,4.18,4.18,1.02,1.03,0.24,0.24,0.27,0.27,206,0.06,0.48,1.67,2.16,394.401,cm,1.77
INHS_FISH_64591,4.66,4.66,1.16,1.15,0.32,0.33,0.34,0.33,235,0.08,0.58,0.57,-0.16,393.003,cm,0.29
INHS_FISH_107855,4.17,4.17,0.89,0.89,0.2,0.21,0.31,0.31,210,0.06,0.43,178.51,-0.42,393.956,cm,-1.52
INHS_FISH_45623,5.54,5.54,1.29,1.29,0.39,0.4,0.42,0.42,266,0.11,0.74,2.52,2.1,394.01,cm,1.92
INHS_FISH_82900,4.02,4.02,0.9,0.9,0.22,0.24,0.3,0.29,180,0.06,0.37,178.41,-1.25,374.921,cm,-1.73
