"original_file_name","id","file_name","catalog_id","dataset","path","scientific_name","genus","family","institution","width","height","size","SL_bbox","SL_lm","HL_bbox","HL_lm","pOD_bbox","pOD_lm","ED_bbox","ED_lm","HH_lm","EA_m","HA_m","FA_pca","FA_lm","scale","unit","FA_pca_meta","file.name","SL_bbox.conv","SL_lm.conv","HL_bbox.conv","HL_lm.conv","pOD_bbox.conv","pOD_lm.conv","ED_bbox.conv","ED_lm.conv","HH_lm.conv","EA_m.conv","HA_m.conv","unit.conv"
"INHS_FISH_100201",142213,"INHS_142213.JPG","100201","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_100201.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11558551,1840,1839.17,460,459.98,114,117.39,118,117.21,223,10182,91052,0,-0.78,394.287,"cm",2.89,"INHS_FISH_100201_measure.json",46.67,46.65,11.67,11.67,2.89,2.98,2.99,2.97,5.66,0.65,5.86,"mm"
"INHS_FISH_100532",142304,"INHS_142304.JPG","100532","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_100532.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10742190,1785,1784.2,406,408.85,88,90.71,115,114,218,9297,79605,0,0.87,393.474,"cm",-0.16,"INHS_FISH_100532_measure.json",45.37,45.34,10.32,10.39,2.24,2.31,2.92,2.9,5.54,0.6,5.14,"mm"
"INHS_FISH_102135",142739,"INHS_142739.JPG","102135","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_102135.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11249078,988,987.02,234,235.76,43,43.05,73,72.06,125,3901,26543,0,0.41,393.805,"cm",-1.49,"INHS_FISH_102135_measure.json",25.09,25.06,5.94,5.99,1.09,1.09,1.85,1.83,3.17,0.25,1.71,"mm"
"INHS_FISH_102621",142853,"INHS_142853.JPG","102621","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_102621.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10272381,1332,1334.53,342,341.99,84,86.83,116,115.21,201,9112,56307,0,-4.17,393.897,"cm",12.29,"INHS_FISH_102621_measure.json",33.82,33.88,8.68,8.68,2.13,2.2,2.94,2.92,5.1,0.59,3.63,"mm"
"INHS_FISH_102957",142937,"INHS_142937.JPG","102957","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_102957.jpg","Notropis leuciodus","Notropis ","Cyprinidae","INHS",6016,4016,11210485,1880,1879.13,419,420.1,108,108.9,135,134,222,12202,79918,0,0.67,391.925,"cm",7.56,"INHS_FISH_102957_measure.json",47.97,47.95,10.69,10.72,2.76,2.78,3.44,3.42,5.66,0.79,5.2,"mm"
"INHS_FISH_102958",142938,"INHS_142938.JPG","102958","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_102958.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10858240,1326,1325.18,348,349.3,92,109.84,106,105.3,182,7113,55565,0,-0.95,392.894,"cm",1.07,"INHS_FISH_102958_measure.json",33.75,33.73,8.86,8.89,2.34,2.8,2.7,2.68,4.63,0.46,3.6,"mm"
"INHS_FISH_103091",142966,"INHS_142966.JPG","103091","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_103091.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11591075,1927,1926,496,497.72,132,133.51,148,147.87,255,16239,105786,0,-0.06,393.963,"cm",-0.62,"INHS_FISH_103091_measure.json",48.91,48.89,12.59,12.63,3.35,3.39,3.76,3.75,6.47,1.05,6.82,"mm"
"INHS_FISH_104263",143294,"INHS_143294.JPG","104263","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_104263.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10951668,1595,1594.21,431,430.04,120,122.78,123,122.15,216,9146,73878,0,-0.93,394.607,"cm",-0.15,"INHS_FISH_104263_measure.json",40.42,40.4,10.92,10.9,3.04,3.11,3.12,3.1,5.47,0.59,4.74,"mm"
"INHS_FISH_105892",143712,"INHS_143712.JPG","105892","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_105892.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10992422,1604,1603.02,391,390.18,99,100.28,120,119.02,200,9616,67160,0,0.29,394.407,"cm",-0.57,"INHS_FISH_105892_measure.json",40.67,40.64,9.91,9.89,2.51,2.54,3.04,3.02,5.07,0.62,4.32,"mm"
"INHS_FISH_105978",143736,"INHS_143736.JPG","105978","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_105978.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11246448,1869,1868,502,502.93,138,138.36,135,134.13,264,13787,112638,0,-0.09,393.186,"cm",0.37,"INHS_FISH_105978_measure.json",47.53,47.51,12.77,12.79,3.51,3.52,3.43,3.41,6.71,0.89,7.29,"mm"
"INHS_FISH_106211",143783,"INHS_143783.JPG","106211","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_106211.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10778766,1804,1803.05,387,387.68,76,78.1,112,111.54,217,9557,79018,0,-0.41,392.953,"cm",-1.36,"INHS_FISH_106211_measure.json",45.91,45.88,9.85,9.87,1.93,1.99,2.85,2.84,5.52,0.62,5.12,"mm"
"INHS_FISH_106370",143815,"INHS_143815.JPG","106370","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_106370.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10177568,1509,1508.02,343,345.49,72,72.01,101,100.08,180,7581,55533,-0.01,0.27,393.611,"cm",-0.27,"INHS_FISH_106370_measure.json",38.34,38.31,8.71,8.78,1.83,1.83,2.57,2.54,4.57,0.49,3.58,"mm"
"INHS_FISH_106489",143851,"INHS_143851.JPG","106489","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_106489.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,11060908,1576,1575.29,386,387.07,94,95.04,121,120.27,206,9840,66808,0,1.09,393.472,"cm",-1.51,"INHS_FISH_106489_measure.json",40.05,40.04,9.81,9.84,2.39,2.42,3.08,3.06,5.24,0.64,4.32,"mm"
"INHS_FISH_106924",143983,"INHS_143983.JPG","106924","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_106924.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,10812765,1593,1592.14,381,380.01,88,93.3,128,128.41,205,10385,67274,0,-0.76,392.917,"cm",-1.15,"INHS_FISH_106924_measure.json",40.54,40.52,9.7,9.67,2.24,2.37,3.26,3.27,5.22,0.67,4.36,"mm"
"INHS_FISH_107279",144080,"INHS_144080.JPG","107279","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107279.jpg","Notropis volucellus","Notropis ","Cyprinidae","INHS",6016,4016,11259990,1956,1955.2,446,450.47,129,129.25,142,141.13,254,14331,97320,0,-0.82,395.219,"cm",-4.07,"INHS_FISH_107279_measure.json",49.49,49.47,11.28,11.4,3.26,3.27,3.59,3.57,6.43,0.92,6.23,"mm"
"INHS_FISH_107309",144087,"INHS_144087.JPG","107309","GLIN","http://www.tubri.org/HDR/INHS/INHS_FISH_107309.jpg","Notropis texanus","Notropis ","Cyprinidae","INHS",6016,4016,10727421,1120,1119.33,295,302.45,80,80.75,85,84.1,156,5352,39407,0,1.38,392.973,"cm",0.37,"INHS_FISH_107309_measure.json",28.5,28.48,7.51,7.7,2.04,2.05,2.16,2.14,3.97,0.35,2.55,"mm"
