"dorsal_fin_number","dorsal_fin_percentage","adipos_fin_number","adipos_fin_percentage","caudal_fin_number","caudal_fin_percentage","anal_fin_number","anal_fin_percentage","pelvic_fin_number","pelvic_fin_percentage","pectoral_fin_number","pectoral_fin_percentage","head_number","head_percentage","eye_number","eye_percentage","caudal_fin_ray_number","caudal_fin_ray_percentage","alt_fin_ray_number","alt_fin_ray_percentage","trunk_number","trunk_percentage","file_name"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.983887376319809,"INHS_FISH_100201"
1,1,0,0,1,1,1,1,2,0.914184648036788,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_100532"
1,1,2,0.74331550802139,1,1,1,1,1,1,1,1,1,1,2,0.994645588985212,0,0,0,0,1,1,"INHS_FISH_102135"
1,1,0,0,1,1,3,0.996231747527084,2,0.808989427677042,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_102621"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_102957"
1,1,1,1,1,1,1,1,1,1,2,0.995940460081191,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_102958"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_103091"
1,1,0,0,1,1,1,1,2,0.950659006421088,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_104263"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_105892"
1,1,0,0,1,1,1,1,1,1,2,0.796506215431795,1,1,1,1,0,0,0,0,2,0.989057246604205,"INHS_FISH_105978"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_106211"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_106370"
1,1,0,0,1,1,1,1,2,0.52704186986512,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_106489"
1,1,1,1,1,1,1,1,3,0.723012876367509,1,1,1,1,1,1,0,0,0,0,2,0.987587299468732,"INHS_FISH_106924"
1,1,0,0,2,0.999494438827098,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.99813160117192,"INHS_FISH_107279"
1,1,2,0.982051282051282,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_107309"
1,1,0,0,1,1,1,1,2,0.907725321888412,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_107460"
1,1,1,1,1,1,1,1,2,0.685428290121431,1,1,1,1,1,1,0,0,0,0,1,1,"INHS_FISH_107479"
