"dorsal_fin_number","dorsal_fin_percentage","adipos_fin_number","adipos_fin_percentage","caudal_fin_number","caudal_fin_percentage","anal_fin_number","anal_fin_percentage","pelvic_fin_number","pelvic_fin_percentage","pectoral_fin_number","pectoral_fin_percentage","head_number","head_percentage","eye_number","eye_percentage","caudal_fin_ray_number","caudal_fin_ray_percentage","alt_fin_ray_number","alt_fin_ray_percentage","trunk_number","trunk_percentage"
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.983887376319809
1,1,0,0,1,1,1,1,2,0.914184648036788,1,1,1,1,1,1,0,0,0,0,1,1
1,1,2,0.74331550802139,1,1,1,1,1,1,1,1,1,1,2,0.994645588985212,0,0,0,0,1,1
1,1,0,0,1,1,3,0.996231747527084,2,0.808989427677042,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,2,0.995940460081191,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,2,0.950659006421088,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,2,0.796506215431795,1,1,1,1,0,0,0,0,2,0.989057246604205
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,2,0.52704186986512,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,3,0.723012876367509,1,1,1,1,1,1,0,0,0,0,2,0.987587299468732
1,1,0,0,2,0.999494438827098,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.99813160117192
1,1,2,0.982051282051282,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,2,0.907725321888412,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,2,0.685428290121431,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,2,0.751940158952782,2,0.831800262812089,1,1,1,1,0,0,0,0,1,1
1,1,0,0,2,0.999693744736238,1,1,2,0.508549953022236,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.988253258718351
1,1,0,0,1,1,3,0.875346260387812,2,0.573386435515989,2,0.91981845688351,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,2,0.999494566590852,3,0.899634082592786,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,3,0.975957383006121
1,1,0,0,2,0.999622023434547,5,0.807666442501681,2,0.509553317841467,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,2,0.966567502479105,1,1,1,1,1,1,0,0,0,0,2,0.988258259923142
1,1,3,0.776470588235294,1,1,1,1,2,0.931076178960097,1,1,2,0.999659701898863,1,1,0,0,0,0,1,1
1,1,1,1,2,0.999952841311012,1,1,3,0.668396663577386,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,4,0.999370817365441,1,1,2,0.604220980757294,1,1,1,1,1,1,0,0,0,0,2,0.999868548894096
1,1,0,0,1,1,2,0.999646975759002,2,0.822316161100014,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,3,0.833451788675669,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,2,0.999940647535389,2,0.990697674418605,2,0.535737619234287,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,2,0.864406779661017,2,0.624791001671987,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,0,0,4,0.697546862756916,1,1,1,1,1,1,0,0,0,0,1,1
1,1,3,0.986280487804878,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.994517616745959
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.971955594997632
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.975568669259793
1,1,0,0,1,1,1,1,1,1,3,0.872914622178606,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,2,0.591888842705303,1,1,1,1,1,1,0,0,0,0,2,0.992140489440679
1,1,3,0.755205992509363,1,1,3,0.97890625,2,0.647599435609961,1,1,1,1,1,1,0,0,0,0,1,1
1,1,3,0.978244561140285,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.999791634109496
1,1,0,0,1,1,1,1,2,0.996478769048676,3,0.599437647237632,1,1,1,1,0,0,0,0,2,0.998248226061382
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.990477844346039
1,1,8,0.33,1,1,3,0.988744588744589,4,0.535968308274061,3,0.974513749161636,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,2,0.542607428987618,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,2,0.986277873070326,3,0.986536327925875,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,4,0.466009852216749,1,1,1,1,2,0.87972824091076,2,0.978903965095651,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,2,0.952167414050822,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,3,0.697214076246334,2,0.702836368400367,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.980960080914019
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,2,0.578124693945508,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.984126984126984
1,1,0,0,1,1,1,1,1,1,2,0.992264182332391,1,1,1,1,0,0,0,0,1,1
1,1,5,0.290909090909091,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
2,0.999850990910445,1,1,1,1,1,1,2,0.955152273675428,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,3,0.989316239316239,1,1,0,0,3,0.948931829092655,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,2,0.866057176026702,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
2,0.993844432008954,2,0.949873417721519,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,2,0.998051315362131,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,2,0.952725250278087,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,2,0.912472647702407,1,1,1,1,1,1,2,0.862659908279025,1,1,1,1,0,0,0,0,1,1
1,1,0,0,3,0.996583092966497,1,1,1,1,2,0.565061475409836,1,1,1,1,0,0,0,0,1,1
1,1,3,0.919573643410853,1,1,1,1,2,0.626225963394857,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,2,0.999650324698494,1,1,2,0.94804563141139,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.976222663521631
1,1,1,1,1,1,2,0.996368250634462,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.98770592981776
1,1,2,0.96529284164859,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.988685238081124
1,1,0,0,1,1,2,0.997043606799704,1,1,2,0.99932287552195,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.999357713297758
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,2,0.584048460373549,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,3,0.806587245970568,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,2,0.818327974276527,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.983732309340305
1,1,0,0,2,0.999556089408816,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,2,0.522388059701492,1,1,1,1,2,0.961591672705712,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,2,0.996978149697815,1,1,1,1,0,0,0,0,2,0.979126749436083
1,1,1,1,1,1,1,1,2,0.825726744186047,2,0.75152061275062,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.985614253526114
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.978773172522857
1,1,0,0,1,1,1,1,1,1,2,0.569046378322043,1,1,1,1,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0.970656786876701
1,1,0,0,1,1,0,0,2,0.523258623003624,1,1,1,1,1,1,0,0,0,0,2,0.976485524789713
