"Selection_Criteria","All_Minnows_Images_sp","Burress_et_al._2017_Overlap_Images_sp"
"Image quality metadata file","34784 (804)","1333 (22)"
"Select for Minnows","13842 (166)","1333 (22)"
"Image Quality Metadata Selection","7811 (115)","756 (20)"
"Removing dupes from image quality metadata file","7810 (114)","755 (19)"
"Only INHS or UWZM (none from UWZM)","6481 (92)","477 (17)"
"No empty URLs","6479 (92)","477 (17)"
"At least 10 samples","6300 (41)","446 (8)"
"After segmentation","need to rerun","446 (8)"
"95% blobb for head, eye, trunk","need to rerun","446 (8)"
"Has ruler scale","need to rerun","428 (8)"
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
