Type,Measurement,Abbreviation,Definition,Ontology_SubClass,Ontology_SubClass_IRI,Code_Definition
area,"head area, triangle", HA_t,"area of head as outlined by three points: tip of snout (landmark #1), back of head (landmark #2), and ventral portion of head (landmark #13)",,,
area,head area using the mask, HA_m,"area of the head region (area of the head based on the mask that segments the head, including the eye)",'part of' some (area and ('characteristic of' some head)),BFO:0000050 some (PATO:0001323 and (RO:0000052 some UBERON:0000033)),
area,"tail area, quadrilateral", TA,"area of tail (peduncle) as outlined by four points: Ventral insertion of the caudal fin (landmark #7), Dorsal insertion of the caudal fin (landmark #5), posterior-most (right-most) insertion point of anal fin (#8), and posterior-most (right-most) insertion point of dorsal fin (landmark #4)",,,
area,eye area to head area, EHA,ratio of eye area to head area,,,
distance,total length, TL,length from the tip of the snout to the posterior-most part of the caudal fin,,,
distance,fork length, FL,length from the tip of the snouth to the medial indentation of of the caudal fin on the posterior side,,,
distance,body depth, BD,"length of the body along the dorsal-ventral (upper-lower) axis, between the dorsal and pelvic fins",,,
distance,standard length, SL,length from the tip of the snout to the posterior-most part of trunk that meets the caudal fin (length from #1 to #6),"""'part of' some (length and ('characteristic of' some 'multicellular organism')) | length and ('characteristic of' some ('anatomical line' and connects some 'tip of snout' and connects some ('antero-medial margin' and ('characteristic of' some 'caudal fin')))""",BFO:0000050 some (PATO:0000122 and (RO:0000052 some UBERON:0000468)) | PATO:0000122 and (RO:0000052 some (UBERON:0006800 and RO:0002176 some UBERON:1000016 and RO:0002176 some ((BSPO:0000042 and (RO:0000042 some UBERON:4000164))),
distance,head-to-caudal length, HCL,length along the dorsal side (top) from the back of the head (landmark #2) to the end of the peduncle (landmark #5),,,
distance,caudal peduncle depth, CPD,length from the ventral (bottom) insertion of the caudal fin (landmark #7) to the dorsal (top) insertion of the caudal fin (landmark #5),,,
